JVSTM Tuning Log

## JVSTM Tuning Parameters
  Policy: jvstm.tuning.policy.HierarchicalGradientDescent
  LogFile: jvstm3.log
  Interval: 50
  MaxThreads: 8
  InitialConfig: [4,2]
  MeasurementType: real
  Contention: High



Timestamp: Mon Mar 28 19:58:09 BST 2016 (1459191489928)

ExecutionTime: 11395

## Tuning round logs:
BestPoint - [4,2] {24,00}  - Alts - [4,2] {24,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,4] {6,00} , [2,3] {6,00} , [1,4] {0,00} , 
BestPoint - [2,4] {0,00}  - Alts - [2,4] {0,00} , [2,3] {0,00} , [1,4] {0,00} , 
BestPoint - [2,3] {6,00}  - Alts - [2,4] {0,00} , [2,3] {6,00} , [1,4] {0,00} , 
BestPoint - [2,3] {6,00}  - Alts - [2,3] {6,00} , [2,4] {0,00} , [2,2] {0,00} , [1,3] {0,00} , 
BestPoint - [2,3] {0,00}  - Alts - [2,3] {0,00} , [2,4] {0,00} , [2,2] {0,00} , [1,3] {0,00} , 
BestPoint - [2,3] {6,00}  - Alts - [2,3] {6,00} , [2,4] {0,00} , [2,2] {6,00} , [1,3] {0,00} , 
BestPoint - [2,3] {0,00}  - Alts - [2,3] {0,00} , [2,4] {0,00} , [2,2] {0,00} , [1,3] {0,00} , 
BestPoint - [2,2] {6,00}  - Alts - [2,3] {0,00} , [2,4] {0,00} , [2,2] {6,00} , [1,3] {0,00} , 
BestPoint - [2,2] {6,00}  - Alts - [2,2] {6,00} , [2,3] {0,00} , [2,1] {0,00} , [3,2] {4,00} , [1,2] {0,00} , 
BestPoint - [2,3] {2,00}  - Alts - [2,2] {0,00} , [2,3] {2,00} , [2,1] {0,00} , [3,2] {0,00} , [1,2] {0,00} , 
BestPoint - [2,3] {12,00}  - Alts - [2,3] {12,00} , [2,4] {0,00} , [2,2] {0,00} , [1,3] {0,00} , 
BestPoint - [2,4] {6,00}  - Alts - [2,3] {0,00} , [2,4] {6,00} , [2,2] {0,00} , [1,3] {0,00} , 
